Date,Adj Close
2009-12-31,5.99
2010-01-04,6.12
2010-01-05,6.06
2010-01-06,6.13
2010-01-07,6.25
2010-01-08,6.34
2010-01-11,6.34
2010-01-12,6.2
2010-01-13,6.39
2010-01-14,6.32
2010-01-15,6.22
2010-01-19,6.22
2010-01-20,6.18
2010-01-21,6.12
2010-01-22,5.97
2010-01-25,5.95
2010-01-26,5.93
2010-01-27,5.99
2010-01-28,5.84
2010-01-29,5.81
2010-02-01,5.91
2010-02-02,6.09
2010-02-03,6.08
2010-02-04,5.77
2010-02-05,5.73
2010-02-08,5.6
2010-02-09,5.45
2010-02-10,5.54
2010-02-11,5.64
2010-02-12,5.66
2010-02-16,5.65
2010-02-17,5.77
2010-02-18,5.82
2010-02-19,5.8
2010-02-22,5.7
2010-02-23,5.66
2010-02-24,5.76
2010-02-25,5.74
2010-02-26,5.7
2010-03-01,5.76
2010-03-02,5.95
2010-03-03,6.01
2010-03-04,6.18
2010-03-05,6.22
2010-03-08,6.25
2010-03-09,6.3
2010-03-10,6.4
2010-03-11,6.36
2010-03-12,6.36
2010-03-15,6.32
2010-03-16,6.32
2010-03-17,6.5
2010-03-18,6.68
2010-03-19,6.87
2010-03-22,6.72
2010-03-23,6.72
2010-03-24,6.73
2010-03-25,6.64
2010-03-26,6.62
2010-03-29,6.68
2010-03-30,6.65
2010-03-31,6.67
2010-04-01,6.77
2010-04-05,7.03
2010-04-06,6.76
2010-04-07,6.82
2010-04-08,6.8
2010-04-09,6.84
2010-04-12,6.9
2010-04-13,6.89
2010-04-14,6.99
2010-04-15,7.01
2010-04-16,7.11
2010-04-19,7.22
2010-04-20,7.18
2010-04-21,7.17
2010-04-22,7.34
2010-04-23,7.35
2010-04-26,7.37
2010-04-27,7.16
2010-04-28,7.15
2010-04-29,7.65
2010-04-30,7.45
2010-05-03,7.64
2010-05-04,7.3
2010-05-05,7.12
2010-05-06,6.91
2010-05-07,6.59
2010-05-10,6.81
2010-05-11,6.74
2010-05-12,6.87
2010-05-13,6.87
2010-05-14,6.77
2010-05-17,6.88
2010-05-18,6.69
2010-05-19,6.69
2010-05-20,6.39
2010-05-21,6.44
2010-05-24,6.36
2010-05-25,6.39
2010-05-26,6.64
2010-05-27,6.84
2010-05-28,6.7
2010-06-01,6.49
2010-06-02,6.64
2010-06-03,6.61
2010-06-04,6.46
2010-06-07,6.24
2010-06-08,6.14
2010-06-09,6.16
2010-06-10,6.12
2010-06-11,6.2
2010-06-14,6.21
2010-06-15,6.26
2010-06-16,6.38
2010-06-17,6.42
2010-06-18,6.45
2010-06-21,6.46
2010-06-22,6.32
2010-06-23,6.2
2010-06-24,6.08
2010-06-25,6.25
2010-06-28,6.24
2010-06-29,5.93
2010-06-30,5.79
2010-07-01,5.79
2010-07-02,5.8
2010-07-06,5.65
2010-07-07,5.83
2010-07-08,5.94
2010-07-09,6.05
2010-07-12,6.15
2010-07-13,6.32
2010-07-14,6.31
2010-07-15,6.37
2010-07-16,6.12
2010-07-19,6.16
2010-07-20,6.28
2010-07-21,6.09
2010-07-22,6.4
2010-07-23,6.53
2010-07-26,6.6
2010-07-27,6.62
2010-07-28,6.45
2010-07-29,6.71
2010-07-30,6.96
2010-08-02,7.12
2010-08-03,6.95
2010-08-04,7.02
2010-08-05,6.97
2010-08-06,6.98
2010-08-09,7.08
2010-08-10,6.88
2010-08-11,6.64
2010-08-12,6.46
2010-08-13,6.38
2010-08-16,6.45
2010-08-17,6.82
2010-08-18,6.91
2010-08-19,6.8
2010-08-20,7.08
2010-08-23,6.88
2010-08-24,6.78
2010-08-25,6.88
2010-08-26,6.82
2010-08-27,6.85
2010-08-30,6.8
2010-08-31,6.79
2010-09-01,7.01
2010-09-02,7.09
2010-09-03,7.18
2010-09-07,7.13
2010-09-08,7.19
2010-09-09,7.34
2010-09-10,7.4
2010-09-13,7.45
2010-09-14,7.69
2010-09-15,7.73
2010-09-16,7.68
2010-09-17,7.76
2010-09-20,7.83
2010-09-21,7.7
2010-09-22,7.64
2010-09-23,7.51
2010-09-24,7.73
2010-09-27,7.7
2010-09-28,7.59
2010-09-29,7.61
2010-09-30,7.63
2010-10-01,7.6
2010-10-04,7.5
2010-10-05,7.76
2010-10-06,7.58
2010-10-07,7.64
2010-10-08,7.63
2010-10-11,7.67
2010-10-12,7.74
2010-10-13,7.97
2010-10-14,8.17
2010-10-15,7.97
2010-10-18,7.82
2010-10-19,7.69
2010-10-20,7.73
2010-10-21,7.81
2010-10-22,7.97
2010-10-25,8.09
2010-10-26,8.2
2010-10-27,8.09
2010-10-28,8.43
2010-10-29,8.47
2010-11-01,8.44
2010-11-02,8.5
2010-11-03,8.45
2010-11-04,8.46
2010-11-05,8.61
2010-11-08,8.53
2010-11-09,8.42
2010-11-10,8.48
2010-11-11,8.43
2010-11-12,8.32
2010-11-15,8.24
2010-11-16,8.12
2010-11-17,8.14
2010-11-18,8.35
2010-11-19,8.32
2010-11-22,8.19
2010-11-23,8.05
2010-11-24,8.17
2010-11-26,8.09
2010-11-29,7.97
2010-11-30,7.86
2010-12-01,7.95
2010-12-02,8.17
2010-12-03,8.21
2010-12-06,8.15
2010-12-07,8.24
2010-12-08,8.21
2010-12-09,8.4
2010-12-10,8.41
2010-12-13,8.32
2010-12-14,8.22
2010-12-15,8.26
2010-12-16,8.35
2010-12-17,8.28
2010-12-20,8.3
2010-12-21,8.38
2010-12-22,8.42
2010-12-23,8.29
2010-12-27,8.31
2010-12-28,8.26
2010-12-29,8.25
2010-12-30,8.29
2010-12-31,8.26
2011-01-03,8.35
2011-01-04,8.32
2011-01-05,8.32
2011-01-06,8.44
2011-01-07,8.42
2011-01-10,8.48
2011-01-11,8.46
2011-01-12,8.6
2011-01-13,8.58
2011-01-14,8.82
2011-01-18,9.17
2011-01-19,8.89
2011-01-20,8.56
2011-01-21,8.51
2011-01-24,8.53
2011-01-25,8.5
2011-01-26,8.56
2011-01-27,8.71
2011-01-28,8.48
2011-01-31,8.68
2011-02-01,8.77
2011-02-02,8.83
2011-02-03,9.45
2011-02-04,9.49
2011-02-07,9.64
2011-02-08,9.66
2011-02-09,9.71
2011-02-10,9.94
2011-02-11,10.03
2011-02-14,10.11
2011-02-15,10.22
2011-02-16,10.26
2011-02-17,10.11
2011-02-18,10.11
2011-02-22,9.76
2011-02-23,9.68
2011-02-24,9.61
2011-02-25,9.88
2011-02-28,9.95
2011-03-01,9.8
2011-03-02,9.92
2011-03-03,9.98
2011-03-04,9.87
2011-03-07,9.44
2011-03-08,9.79
2011-03-09,9.88
2011-03-10,9.58
2011-03-11,9.48
2011-03-14,9.61
2011-03-15,9.44
2011-03-16,9.33
2011-03-17,9.43
2011-03-18,9.56
2011-03-21,9.79
2011-03-22,9.57
2011-03-23,9.59
2011-03-24,9.79
2011-03-25,9.85
2011-03-28,9.81
2011-03-29,9.8
2011-03-30,9.76
2011-03-31,9.75
2011-04-01,10.0
2011-04-04,10.08
2011-04-05,10.14
2011-04-06,10.18
2011-04-07,10.22
2011-04-08,9.86
2011-04-11,9.76
2011-04-12,9.65
2011-04-13,9.83
2011-04-14,9.74
2011-04-15,9.8
2011-04-18,9.53
2011-04-19,9.63
2011-04-20,9.79
2011-04-21,9.91
2011-04-25,9.99
2011-04-26,9.93
2011-04-27,10.29
2011-04-28,10.15
2011-04-29,10.38
2011-05-02,10.67
2011-05-03,10.39
2011-05-04,10.24
2011-05-05,10.08
2011-05-06,10.36
2011-05-09,10.61
2011-05-10,10.73
2011-05-11,10.58
2011-05-12,10.77
2011-05-13,10.92
2011-05-16,10.68
2011-05-17,10.55
2011-05-18,10.91
2011-05-19,10.79
2011-05-20,10.62
2011-05-23,10.34
2011-05-24,10.29
2011-05-25,10.69
2011-05-26,10.64
2011-05-27,10.64
2011-05-31,10.69
2011-06-01,10.56
2011-06-02,10.57
2011-06-03,10.55
2011-06-06,10.7
2011-06-07,10.44
2011-06-08,10.22
2011-06-09,10.27
2011-06-10,10.06
2011-06-13,10.08
2011-06-14,10.38
2011-06-15,10.09
2011-06-16,10.16
2011-06-17,10.03
2011-06-20,10.0
2011-06-21,10.22
2011-06-22,10.32
2011-06-23,10.35
2011-06-24,10.2
2011-06-27,10.24
2011-06-28,10.46
2011-06-29,10.5
2011-06-30,10.56
2011-07-01,10.68
2011-07-05,10.6
2011-07-06,10.64
2011-07-07,10.72
2011-07-08,10.58
2011-07-11,10.33
2011-07-12,10.07
2011-07-13,10.04
2011-07-14,9.78
2011-07-15,9.88
2011-07-18,9.68
2011-07-19,9.85
2011-07-20,9.78
2011-07-21,9.84
2011-07-22,9.99
2011-07-25,9.88
2011-07-26,9.87
2011-07-27,9.51
2011-07-28,9.41
2011-07-29,10.33
2011-08-01,10.06
2011-08-02,9.69
2011-08-03,9.97
2011-08-04,9.29
2011-08-05,9.14
2011-08-08,8.28
2011-08-09,8.92
2011-08-10,8.64
2011-08-11,9.1
2011-08-12,9.07
2011-08-15,9.4
2011-08-16,9.02
2011-08-17,8.95
2011-08-18,8.4
2011-08-19,8.12
2011-08-22,8.3
2011-08-23,8.65
2011-08-24,8.86
2011-08-25,8.61
2011-08-26,8.87
2011-08-29,9.26
2011-08-30,9.2
2011-08-31,9.24
2011-09-01,9.26
2011-09-02,8.88
2011-09-06,8.79
2011-09-07,9.1
2011-09-08,9.05
2011-09-09,8.88
2011-09-12,9.03
2011-09-13,9.33
2011-09-14,9.69
2011-09-15,9.84
2011-09-16,9.91
2011-09-19,9.81
2011-09-20,9.57
2011-09-21,9.51
2011-09-22,9.21
2011-09-23,9.39
2011-09-26,9.72
2011-09-27,9.83
2011-09-28,9.46
2011-09-29,9.58
2011-09-30,9.24
2011-10-03,9.0
2011-10-04,9.27
2011-10-05,9.34
2011-10-06,9.52
2011-10-07,9.49
2011-10-10,9.84
2011-10-11,9.93
2011-10-12,9.92
2011-10-13,9.99
2011-10-14,10.12
2011-10-17,9.93
2011-10-18,10.07
2011-10-19,9.96
2011-10-20,9.91
2011-10-21,10.16
2011-10-24,10.54
2011-10-25,10.34
2011-10-26,10.3
2011-10-27,11.15
2011-10-28,11.1
2011-10-31,11.07
2011-11-01,10.8
2011-11-02,10.92
2011-11-03,11.12
2011-11-04,11.09
2011-11-07,11.0
2011-11-08,11.3
2011-11-09,11.13
2011-11-10,11.26
2011-11-11,11.49
2011-11-14,11.41
2011-11-15,11.57
2011-11-16,11.31
2011-11-17,11.1
2011-11-18,11.04
2011-11-21,10.71
2011-11-22,10.59
2011-11-23,10.29
2011-11-25,10.18
2011-11-28,10.46
2011-11-29,10.31
2011-11-30,10.94
2011-12-01,10.76
2011-12-02,10.82
2011-12-05,10.99
2011-12-06,10.91
2011-12-07,10.92
2011-12-08,10.68
2011-12-09,10.89
2011-12-12,10.59
2011-12-13,10.33
2011-12-14,10.16
2011-12-15,10.16
2011-12-16,10.36
2011-12-19,10.12
2011-12-20,10.54
2011-12-21,10.35
2011-12-22,10.5
2011-12-23,10.52
2011-12-27,10.39
2011-12-28,10.13
2011-12-29,10.34
2011-12-30,10.4
2012-01-03,10.34
2012-01-04,10.06
2012-01-05,10.37
2012-01-06,10.19
2012-01-09,10.05
2012-01-10,10.15
2012-01-11,10.22
2012-01-12,10.17
2012-01-13,9.92
2012-01-17,9.96
2012-01-18,10.37
2012-01-19,10.76
2012-01-20,10.62
2012-01-23,10.53
2012-01-24,10.74
2012-01-25,10.69
2012-01-26,10.7
2012-01-27,10.67
2012-01-30,10.55
2012-01-31,10.56
2012-02-01,10.8
2012-02-02,11.64
2012-02-03,11.73
2012-02-06,11.62
2012-02-07,11.74
2012-02-08,11.76
2012-02-09,12.0
2012-02-10,11.77
2012-02-13,11.7
2012-02-14,11.83
2012-02-15,11.94
2012-02-16,12.03
2012-02-17,11.94
2012-02-21,11.98
2012-02-22,11.8
2012-02-23,11.9
2012-02-24,11.81
2012-02-27,11.82
2012-02-28,11.75
2012-02-29,11.77
2012-03-01,11.92
2012-03-02,11.63
2012-03-05,11.51
2012-03-06,11.32
2012-03-07,11.5
2012-03-08,11.96
2012-03-09,12.01
2012-03-12,11.95
2012-03-13,12.28
2012-03-14,12.15
2012-03-15,12.4
2012-03-16,12.33
2012-03-19,12.42
2012-03-20,12.19
2012-03-21,12.18
2012-03-22,12.12
2012-03-23,12.02
2012-03-26,12.13
2012-03-27,12.14
2012-03-28,12.09
2012-03-29,11.89
2012-03-30,11.84
2012-04-02,11.89
2012-04-03,11.89
2012-04-04,11.76
2012-04-05,11.79
2012-04-09,11.57
2012-04-10,11.24
2012-04-11,11.38
2012-04-12,11.6
2012-04-13,11.51
2012-04-16,11.49
2012-04-17,11.78
2012-04-18,11.75
2012-04-19,11.56
2012-04-20,11.52
2012-04-23,11.35
2012-04-24,11.28
2012-04-25,11.67
2012-04-26,11.88
2012-04-27,11.86
2012-04-30,11.67
2012-05-01,11.68
2012-05-02,11.61
2012-05-03,11.46
2012-05-04,11.2
2012-05-07,11.08
2012-05-08,11.15
2012-05-09,11.13
2012-05-10,10.87
2012-05-11,10.91
2012-05-14,10.8
2012-05-15,10.79
2012-05-16,10.46
2012-05-17,10.11
2012-05-18,9.91
2012-05-21,10.24
2012-05-22,10.17
2012-05-23,10.33
2012-05-24,10.41
2012-05-25,10.29
2012-05-29,10.51
2012-05-30,10.25
2012-05-31,10.2
2012-06-01,9.79
2012-06-04,9.86
2012-06-05,10.09
2012-06-06,10.54
2012-06-07,10.47
2012-06-08,10.54
2012-06-11,10.41
2012-06-12,10.48
2012-06-13,10.33
2012-06-14,10.5
2012-06-15,10.83
2012-06-18,10.79
2012-06-19,10.91
2012-06-20,10.79
2012-06-21,10.54
2012-06-22,10.68
2012-06-25,10.41
2012-06-26,10.57
2012-06-27,10.5
2012-06-28,10.49
2012-06-29,10.99
2012-07-02,11.23
2012-07-03,11.52
2012-07-05,11.71
2012-07-06,11.42
2012-07-09,11.18
2012-07-10,11.02
2012-07-11,11.04
2012-07-12,10.86
2012-07-13,11.05
2012-07-16,11.17
2012-07-17,11.23
2012-07-18,11.5
2012-07-19,11.71
2012-07-20,11.57
2012-07-23,11.47
2012-07-24,11.23
2012-07-25,11.42
2012-07-26,12.02
2012-07-27,12.39
2012-07-30,12.24
2012-07-31,12.22
2012-08-01,12.21
2012-08-02,12.24
2012-08-03,12.43
2012-08-06,12.39
2012-08-07,12.39
2012-08-08,12.44
2012-08-09,12.58
2012-08-10,12.56
2012-08-13,12.53
2012-08-14,12.38
2012-08-15,12.54
2012-08-16,12.65
2012-08-17,12.78
2012-08-20,12.76
2012-08-21,12.84
2012-08-22,12.87
2012-08-23,12.9
2012-08-24,12.73
2012-08-27,12.77
2012-08-28,13.07
2012-08-29,13.02
2012-08-30,12.84
2012-08-31,13.2
2012-09-04,13.39
2012-09-05,13.42
2012-09-06,13.48
2012-09-07,13.54
2012-09-10,13.65
2012-09-11,13.49
2012-09-12,13.61
2012-09-13,13.61
2012-09-14,13.54
2012-09-17,13.49
2012-09-18,13.4
2012-09-19,13.43
2012-09-20,13.33
2012-09-21,13.32
2012-09-24,13.13
2012-09-25,12.86
2012-09-26,12.8
2012-09-27,12.9
2012-09-28,12.87
2012-10-01,12.68
2012-10-02,12.8
2012-10-03,12.89
2012-10-04,13.0
2012-10-05,12.84
2012-10-08,12.67
2012-10-09,12.58
2012-10-10,12.49
2012-10-11,12.6
2012-10-12,12.51
2012-10-15,12.56
2012-10-16,12.97
2012-10-17,12.82
2012-10-18,12.72
2012-10-19,12.61
2012-10-22,12.39
2012-10-23,12.42
2012-10-24,12.71
2012-10-25,12.73
2012-10-26,12.8
2012-10-31,12.65
2012-11-01,13.1
2012-11-02,12.99
2012-11-05,12.83
2012-11-06,13.1
2012-11-07,12.77
2012-11-08,12.62
2012-11-09,12.61
2012-11-12,12.53
2012-11-13,12.56
2012-11-14,12.43
2012-11-15,12.26
2012-11-16,12.41
2012-11-19,12.67
2012-11-20,12.65
2012-11-21,12.9
2012-11-23,13.0
2012-11-26,12.95
2012-11-27,12.79
2012-11-28,12.97
2012-11-29,12.9
2012-11-30,12.75
2012-12-03,12.7
2012-12-04,12.74
2012-12-05,12.8
2012-12-06,12.88
2012-12-07,12.96
2012-12-10,13.09
2012-12-11,13.14
2012-12-12,13.09
2012-12-13,13.01
2012-12-14,13.18
2012-12-17,13.35
2012-12-18,13.41
2012-12-19,13.36
2012-12-20,13.5
2012-12-21,13.47
2012-12-24,13.57
2012-12-26,13.35
2012-12-27,13.43
2012-12-28,13.44
2012-12-31,13.51
2013-01-02,14.0
2013-01-03,13.63
2013-01-04,13.43
2013-01-07,13.41
2013-01-08,13.68
2013-01-09,13.78
2013-01-10,13.84
2013-01-11,13.94
2013-01-14,14.02
2013-01-15,13.89
2013-01-16,14.13
2013-01-17,14.21
2013-01-18,14.0
2013-01-22,14.0
2013-01-23,14.02
2013-01-24,13.9
2013-01-25,14.2
2013-01-28,14.12
2013-01-29,14.04
2013-01-30,13.94
2013-01-31,13.93
2013-02-01,14.15
2013-02-04,13.76
2013-02-05,13.82
2013-02-06,14.05
2013-02-07,13.91
2013-02-08,14.16
2013-02-11,14.22
2013-02-12,14.36
2013-02-13,14.25
2013-02-14,14.2
2013-02-15,14.27
2013-02-19,14.25
2013-02-20,14.13
2013-02-21,14.23
2013-02-22,14.36
2013-02-25,14.19
2013-02-26,14.01
2013-02-27,14.2
2013-02-28,14.16
2013-03-01,13.94
2013-03-04,14.31
2013-03-05,14.64
2013-03-06,14.7
2013-03-07,14.56
2013-03-08,14.48
2013-03-11,14.58
2013-03-12,14.05
2013-03-13,14.1
2013-03-14,14.1
