Date,Adj Close
2009-12-31,9.11
2010-01-04,9.5
2010-01-05,10.27
2010-01-06,11.0
2010-01-07,10.82
2010-01-08,10.94
2010-01-11,11.09
2010-01-12,10.36
2010-01-13,10.33
2010-01-14,10.16
2010-01-15,9.86
2010-01-19,10.02
2010-01-20,9.81
2010-01-21,9.41
2010-01-22,9.47
2010-01-25,9.79
2010-01-26,10.29
2010-01-27,10.06
2010-01-28,10.37
2010-01-29,10.68
2010-02-01,10.63
2010-02-02,10.93
2010-02-03,10.62
2010-02-04,10.01
2010-02-05,10.19
2010-02-08,9.96
2010-02-09,10.28
2010-02-10,10.45
2010-02-11,10.66
2010-02-12,11.09
2010-02-16,11.2
2010-02-17,11.06
2010-02-18,10.72
2010-02-19,10.86
2010-02-22,10.71
2010-02-23,10.54
2010-02-24,10.51
2010-02-25,10.58
2010-02-26,10.66
2010-03-01,11.5
2010-03-02,11.44
2010-03-03,11.43
2010-03-04,11.34
2010-03-05,11.6
2010-03-08,11.99
2010-03-09,12.59
2010-03-10,12.42
2010-03-11,13.07
2010-03-12,13.0
2010-03-15,12.98
2010-03-16,12.99
2010-03-17,13.38
2010-03-18,13.11
2010-03-19,12.66
2010-03-22,13.19
2010-03-23,14.15
2010-03-24,14.11
2010-03-25,13.92
2010-03-26,14.07
2010-03-29,14.06
2010-03-30,14.01
2010-03-31,13.93
2010-04-01,14.3
2010-04-05,14.6
2010-04-06,14.54
2010-04-07,14.23
2010-04-08,14.59
2010-04-09,14.65
2010-04-12,14.78
2010-04-13,14.16
2010-04-14,14.41
2010-04-15,14.21
2010-04-16,13.85
2010-04-19,13.73
2010-04-20,13.99
2010-04-21,13.68
2010-04-22,13.69
2010-04-23,14.13
2010-04-26,13.96
2010-04-27,13.26
2010-04-28,13.23
2010-04-29,13.68
2010-04-30,13.44
2010-05-03,13.76
2010-05-04,13.07
2010-05-05,13.06
2010-05-06,12.14
2010-05-07,11.59
2010-05-10,13.1
2010-05-11,13.27
2010-05-12,14.19
2010-05-13,13.89
2010-05-14,13.49
2010-05-17,13.63
2010-05-18,13.34
2010-05-19,12.94
2010-05-20,12.0
2010-05-21,12.46
2010-05-24,12.4
2010-05-25,12.56
2010-05-26,12.39
2010-05-27,13.12
2010-05-28,12.89
2010-06-01,12.65
