Date,Adj Close
2009-12-31,8.82
2010-01-04,8.87
2010-01-05,8.79
2010-01-06,8.9
2010-01-07,8.89
2010-01-08,8.89
2010-01-11,8.97
2010-01-12,8.49
2010-01-13,8.59
2010-01-14,8.51
2010-01-15,7.99
2010-01-19,8.17
2010-01-20,8.12
2010-01-21,8.09
2010-01-22,7.67
2010-01-25,7.92
2010-01-26,7.88
2010-01-27,7.94
2010-01-28,7.44
2010-01-29,7.21
2010-02-01,7.56
2010-02-02,7.81
2010-02-03,7.86
2010-02-04,7.39
2010-02-05,7.49
2010-02-08,7.62
2010-02-09,7.69
2010-02-10,7.77
2010-02-11,7.92
2010-02-12,8.02
2010-02-16,8.16
2010-02-17,8.08
2010-02-18,8.16
2010-02-19,8.21
2010-02-22,8.21
2010-02-23,7.87
2010-02-24,8.04
2010-02-25,7.99
2010-02-26,7.96
2010-03-01,8.2
2010-03-02,8.3
2010-03-03,8.2
2010-03-04,8.1
2010-03-05,8.22
2010-03-08,8.16
2010-03-09,8.23
2010-03-10,8.27
2010-03-11,8.05
2010-03-12,8.0
2010-03-15,7.86
2010-03-16,8.07
2010-03-17,8.06
2010-03-18,7.96
2010-03-19,7.85
2010-03-22,8.05
2010-03-23,8.24
2010-03-24,7.98
2010-03-25,8.0
2010-03-26,7.93
2010-03-29,7.92
2010-03-30,7.95
2010-03-31,8.0
2010-04-01,8.06
2010-04-05,8.34
2010-04-06,8.3
2010-04-07,8.47
2010-04-08,8.26
2010-04-09,8.44
2010-04-12,8.38
2010-04-13,8.48
2010-04-14,8.86
2010-04-15,8.88
2010-04-16,8.69
2010-04-19,8.51
2010-04-20,8.63
2010-04-21,8.48
2010-04-22,8.52
2010-04-23,8.56
2010-04-26,8.44
2010-04-27,8.25
2010-04-28,8.28
2010-04-29,8.36
2010-04-30,7.96
2010-05-03,8.15
2010-05-04,7.95
2010-05-05,7.75
2010-05-06,7.4
2010-05-07,7.61
2010-05-10,7.82
2010-05-11,7.85
2010-05-12,8.08
2010-05-13,7.94
2010-05-14,7.76
2010-05-17,7.78
2010-05-18,7.52
2010-05-19,7.5
2010-05-20,7.27
2010-05-21,7.35
2010-05-24,7.34
2010-05-25,7.15
2010-05-26,7.17
2010-05-27,7.49
2010-05-28,7.31
2010-06-01,7.15
2010-06-02,7.27
2010-06-03,7.35
2010-06-04,7.06
2010-06-07,6.7
2010-06-08,6.51
2010-06-09,6.45
2010-06-10,6.6
2010-06-11,6.78
2010-06-14,6.78
2010-06-15,7.11
2010-06-16,7.23
2010-06-17,7.23
2010-06-18,7.18
2010-06-21,7.14
2010-06-22,6.99
2010-06-23,6.8
2010-06-24,6.68
2010-06-25,6.68
2010-06-28,6.67
2010-06-29,6.56
2010-06-30,6.38
2010-07-01,6.4
2010-07-02,6.31
2010-07-06,6.31
2010-07-07,6.64
2010-07-08,6.69
2010-07-09,6.75
2010-07-12,6.76
2010-07-13,6.93
2010-07-14,6.94
2010-07-15,7.04
2010-07-16,7.05
2010-07-19,7.22
2010-07-20,7.27
2010-07-21,7.08
2010-07-22,7.32
2010-07-23,7.29
2010-07-26,7.42
2010-07-27,7.16
2010-07-28,7.05
2010-07-29,6.84
2010-07-30,6.75
2010-08-02,6.89
2010-08-03,6.79
2010-08-04,6.96
2010-08-05,6.69
2010-08-06,6.83
2010-08-09,6.85
2010-08-10,6.71
2010-08-11,6.43
2010-08-12,6.37
2010-08-13,6.36
2010-08-16,6.41
2010-08-17,6.53
2010-08-18,6.53
2010-08-19,6.44
2010-08-20,6.43
2010-08-23,6.42
2010-08-24,6.26
2010-08-25,6.24
2010-08-26,6.22
2010-08-27,6.41
2010-08-30,6.31
2010-08-31,6.18
2010-09-01,6.42
2010-09-02,6.54
2010-09-03,6.52
2010-09-07,6.33
2010-09-08,6.39
2010-09-09,6.2
2010-09-10,6.16
2010-09-13,6.36
2010-09-14,6.62
2010-09-15,6.67
2010-09-16,6.74
2010-09-17,6.56
2010-09-20,6.71
2010-09-21,6.86
2010-09-22,6.66
2010-09-23,6.61
2010-09-24,6.79
2010-09-27,7.01
2010-09-28,7.22
2010-09-29,7.24
2010-09-30,7.21
2010-10-01,7.23
2010-10-04,7.11
2010-10-05,7.24
2010-10-06,6.97
2010-10-07,6.99
2010-10-08,7.04
2010-10-11,6.96
2010-10-12,7.06
2010-10-13,7.03
2010-10-14,6.99
2010-10-15,7.22
2010-10-18,7.1
2010-10-19,7.04
2010-10-20,7.16
2010-10-21,7.06
2010-10-22,7.3
2010-10-25,7.38
2010-10-26,7.36
2010-10-27,7.61
2010-10-28,7.57
2010-10-29,7.67
2010-11-01,7.79
2010-11-02,7.82
2010-11-03,7.86
2010-11-04,8.01
2010-11-05,8.21
2010-11-08,8.26
2010-11-09,8.16
2010-11-10,8.15
2010-11-11,8.1
2010-11-12,8.04
2010-11-15,7.95
2010-11-16,7.86
2010-11-17,7.79
2010-11-18,7.95
2010-11-19,8.02
2010-11-22,8.09
2010-11-23,7.95
2010-11-24,8.21
2010-11-26,8.18
2010-11-29,8.12
2010-11-30,8.16
2010-12-01,8.69
2010-12-02,9.09
2010-12-03,9.21
2010-12-06,9.13
2010-12-07,9.09
2010-12-08,9.41
2010-12-09,9.34
2010-12-10,9.24
2010-12-13,9.17
2010-12-14,9.01
2010-12-15,8.96
2010-12-16,9.01
2010-12-17,9.14
2010-12-20,9.17
2010-12-21,9.25
2010-12-22,9.28
2010-12-23,9.39
2010-12-27,9.47
2010-12-28,9.63
2010-12-29,9.92
2010-12-30,9.85
2010-12-31,9.88
2011-01-03,9.87
2011-01-04,10.23
2011-01-05,10.29
2011-01-06,10.42
2011-01-07,10.78
2011-01-10,11.0
2011-01-11,11.12
2011-01-12,11.37
2011-01-13,11.43
2011-01-14,11.64
2011-01-18,11.6
2011-01-19,11.22
2011-01-20,11.07
2011-01-21,10.85
2011-01-24,11.27
2011-01-25,11.23
2011-01-26,11.3
2011-01-27,11.36
2011-01-28,10.93
2011-01-31,11.05
2011-02-01,11.36
2011-02-02,11.5
2011-02-03,11.17
2011-02-04,11.54
2011-02-07,11.56
2011-02-08,11.55
2011-02-09,11.3
2011-02-10,11.19
2011-02-11,11.32
2011-02-14,11.65
2011-02-15,11.52
2011-02-16,11.63
2011-02-17,11.74
2011-02-18,11.61
2011-02-22,10.9
2011-02-23,10.84
2011-02-24,11.1
2011-02-25,11.38
2011-02-28,11.15
2011-03-01,10.96
2011-03-02,11.09
2011-03-03,11.08
2011-03-04,11.15
2011-03-07,10.71
2011-03-08,10.74
2011-03-09,10.31
2011-03-10,10.19
2011-03-11,10.28
2011-03-14,10.11
2011-03-15,9.79
2011-03-16,9.58
2011-03-17,9.73
2011-03-18,9.66
